epoch,loss,l_q,l_mu,l_mm,l_q_base,l_mu_base,l_mm_base,tf_prob,val_loss,val_internal,val_boundary,val_n_anchor,val_start_fs,val_end_fs,es_gate
1912,4.251466274261475,0.0821402370929718,8.316869735717773,0.02178197167813778,0.07397770881652832,8.316869735717773,0.02178197167813778,0.0,0.5206903056719321,0.10315767702560619,0.9382229343192993,6,24.0,28.0,1
1913,4.123837471008301,0.09826182574033737,8.031083106994629,0.02006833255290985,0.08783669024705887,8.031083106994629,0.02006833255290985,0.0,0.5381381227681274,0.10073011677323879,0.9755461287640926,6,24.0,28.0,1
1914,4.167272567749023,0.09125282615423203,8.13231372833252,0.01972627267241478,0.08227185159921646,8.13231372833252,0.01972627267241478,0.0,0.5616932116380109,0.09944643767827031,1.0239399855988751,6,24.0,28.0,1
1915,4.228273868560791,0.07028070837259293,8.294851303100586,0.02113506942987442,0.06298337876796722,8.294851303100586,0.02113506942987442,0.0,0.6695062255997568,0.0986557669369051,1.2403566842639477,6,24.0,28.0,1
1916,4.159180164337158,0.08249908685684204,8.115230560302734,0.03813166916370392,0.07429102063179016,8.115230560302734,0.03813166916370392,0.0,0.662117539134657,0.09740215324595027,1.2268329250246879,6,24.0,28.0,1
1917,4.070132732391357,0.09488192945718765,7.927511692047119,0.022990666329860687,0.08540208637714386,7.927511692047119,0.022990666329860687,0.0,0.8452839112922889,0.09858332872069168,1.5919844938655767,6,24.0,28.0,1
1918,4.224647045135498,0.06532716006040573,8.294054985046387,0.024584626778960228,0.057877011597156525,8.294054985046387,0.024584626778960228,0.0,0.872900676488315,0.10004451682705022,1.6457568361513257,6,24.0,28.0,1
1919,4.193516731262207,0.09576592594385147,8.172101020812988,0.023400332778692245,0.08620123565196991,8.172101020812988,0.023400332778692245,0.0,0.8705954775481679,0.10129773249155166,1.6398932226065255,6,24.0,28.0,1
1920,4.2054595947265625,0.10903721302747726,8.167695045471191,0.025149133056402206,0.09927298873662949,8.167695045471191,0.025149133056402206,0.0,0.9192080403983761,0.0992611010402516,1.7391549797583392,6,24.0,28.0,1
1921,4.229310512542725,0.071307472884655,8.297700881958008,0.018305182456970215,0.06341185420751572,8.297700881958008,0.018305182456970215,0.0,0.7435023405082184,0.09851139276348192,1.3884932882544418,6,24.0,28.0,1
1922,4.103239059448242,0.06901155412197113,8.043444633483887,0.025009727105498314,0.06202404573559761,8.043444633483887,0.025009727105498314,0.0,0.7289619129900594,0.1006346020783176,1.3572892239032592,6,24.0,28.0,1
1923,4.180624008178711,0.09279293566942215,8.151597023010254,0.024065319448709488,0.08305532485246658,8.151597023010254,0.024065319448709488,0.0,0.6623224956421874,0.1038289833936728,1.2208160078920267,6,24.0,28.0,1
1924,4.2953057289123535,0.0740867480635643,8.427311897277832,0.015126196667551994,0.06626761704683304,8.427311897277832,0.015126196667551994,0.0,0.6122726476163375,0.10760485084851357,1.1169404443853859,6,24.0,28.0,1
1925,4.178367614746094,0.09501831233501434,8.138534545898438,0.028164338320493698,0.08504755049943924,8.138534545898438,0.028164338320493698,0.0,0.7710480937143241,0.11145574095398508,1.4306404464762055,6,24.0,28.0,1
1926,4.192347049713135,0.09257925301790237,8.175566673278809,0.023969125002622604,0.08274982124567032,8.175566673278809,0.023969125002622604,0.0,0.6676958890700423,0.11285584854983745,1.2225359295915827,6,24.0,28.0,1
1927,4.164039134979248,0.09475714713335037,8.11758804321289,0.020976370200514793,0.08529311418533325,8.11758804321289,0.020976370200514793,0.0,0.7677478161072441,0.1127097920403332,1.4227858401756905,6,24.0,28.0,1
1928,4.210144519805908,0.08861903846263885,8.217782020568848,0.025268740952014923,0.07964970916509628,8.217782020568848,0.025268740952014923,0.0,0.6660429778434588,0.11230623606628028,1.2197797196219695,6,24.0,28.0,1
1929,4.204771995544434,0.07322399318218231,8.245076179504395,0.018019823357462883,0.06575152277946472,8.245076179504395,0.018019823357462883,0.0,0.6587199658721578,0.1096593908904341,1.207780540855199,6,24.0,28.0,1
1930,4.2190022468566895,0.08914830535650253,8.235602378845215,0.024105101823806763,0.08011789619922638,8.235602378845215,0.024105101823806763,0.0,0.6274741670822879,0.10687858319137754,1.1480697509744533,6,24.0,28.0,1
1931,4.194429874420166,0.08316023647785187,8.205448150634766,0.01709122397005558,0.07419151067733765,8.205448150634766,0.01709122397005558,0.0,0.5824071631943,0.104227610939234,1.0605867154505308,6,24.0,28.0,1
1932,4.07481050491333,0.10555519908666611,7.917020320892334,0.02148994617164135,0.09512244164943695,7.917020320892334,0.02148994617164135,0.0,0.49583509922573527,0.1027497909927768,0.8889204074596855,6,24.0,28.0,1
