time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
5.820133,0.24420373,0.24418099,1.7948454e-05,1.0788488e-05,0,0
5.8401337,0.2427125,0.24268048,1.42910985e-05,7.4374702e-06,0,0
5.860134,0.24112713,0.2410739,1.0831781e-05,4.767382e-06,0,0
5.8801346,0.23947954,0.23939748,7.2258235e-06,2.449307e-06,0,0
5.900135,0.2378041,0.2376896,3.2559358e-06,4.830372e-08,0,0
5.9201355,0.23613726,0.23598972,-1.1327353e-06,-2.8091606e-06,0,0
5.940136,0.2345163,0.23433724,-5.8905557e-06,-6.312168e-06,0,0
5.9601364,0.23297729,0.23277047,-1.0786604e-05,-1.0454691e-05,0,0
5.980137,0.23155347,0.23132542,-1.5483276e-05,-1.50111755e-05,0,0
6.0001373,0.23027448,0.23003441,-1.978874e-05,-1.9579189e-05,0,0
6.020138,0.22916616,0.22892487,-2.3588242e-05,-2.3786934e-05,0,0
6.0401382,0.22825037,0.22801857,-2.6766364e-05,-2.7384785e-05,0,0
6.0601387,0.22754572,0.22733125,-2.9500272e-05,-3.0215853e-05,0,0
6.080139,0.22706783,0.22687313,-3.2124997e-05,-3.23639e-05,0,0
6.1001396,0.2268282,0.22664984,-3.4608784e-05,-3.416327e-05,0,0
6.12014,0.22683357,0.22666341,-3.6716658e-05,-3.5824753e-05,0,0
6.1401405,0.22708572,0.22691302,-3.8400765e-05,-3.7282498e-05,0,0
6.160141,0.22758055,0.22739531,-3.9645165e-05,-3.841826e-05,0,0
6.1801414,0.22830741,0.22810407,-4.045919e-05,-3.914984e-05,0,0
6.200142,0.22925009,0.22902912,-4.1113064e-05,-3.9450413e-05,0,0
6.2201424,0.2303882,0.23015505,-4.193157e-05,-3.949819e-05,0,0
6.240143,0.23169851,0.2314606,-4.3039858e-05,-3.963501e-05,0,0
6.2601433,0.23315606,0.23291883,-4.4542146e-05,-4.013771e-05,0,0
6.2801437,0.2347342,0.23449814,-4.6595247e-05,-4.118358e-05,0,0
6.300144,0.2364043,0.23616396,-4.9186983e-05,-4.2919568e-05,0,0
6.3201447,0.23813504,0.2378803,-5.2147057e-05,-4.5374964e-05,0,0
6.340145,0.2398926,0.2396111,-5.5321514e-05,-4.840191e-05,0,0
